"Table 2.2: Crop production by Region, 2008",,,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,,,,,,,1.65,1.76,2.27,1.78,1.89,,,,
1,Rice (Paddy),Area planted (Ha),"  10,985 ","  26,606 ","  3,983 ","  1,558 ","  33,827 ","  25,631 ","  11,492 ","  16,101 ","  5,843 ","  9,088 ","  8,848 ","  65,231 ","  15,788 ","  22,080 ","  43,239 ","  10,604 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),2.97,2.04,3.09,5.59,5.36,5.34,4.08,4.56,2.47,2.01,2.49,2.35,2.36,1.87,3.00,2.26,,,,
1,Sorghum,Area planted (Ha),,,,,,"  6,123 ",,,,"  1,898 ",,"  46,993 ","  13,710 ","  12,560 ","  56,369 ","  46,797 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,2.15,,,,2.02,,1.71,1.65,2.51,1.81,1.96,,,,
1,Cassava,Area planted (Ha),"  48,236 ","  47,576 ","  148,559 ","  3,001 ","  46,920 ","  45,860 ","  224,149 ","  158,091 ","  73,738 ","  81,411 ","  33,741 ","  63,957 ","  3,414 ","  34,632 ",,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),20.18,14.64,22.48,19.85,21.90,23.53,26.45,25.15,23.48,24.04,24.55,12.38,7.51,15.91,,,,,,
1,Cocoyam,Area planted (Ha),"  6,476 ","  42,656 ","  8,563 ",,"  3,479 ","  7,066 ","  29,840 ","  67,850 ","  19,920 ","  1,769 ","  28,825 ",,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),8.26,7.26,5.74,,6.06,7.73,9.08,7.11,16.52,8.24,7.57,,,,,,,,,
1,Plantain,Area planted (Ha),"  19,666 ","  69,309 ","  26,019 ",,"  4,078 ","  7,602 ","  87,739 ","  119,605 ","  31,743 ","  2,916 ","  56,714 ",,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),14.84,13.52,10.69,,7.46,8.15,10.25,15.22,7.05,10.20,16.29,,,,,,,,,
1,Yam,Area planted (Ha),  962 ,"  12,929 ","  2,440 ",,"  11,582 ","  24,591 ","  39,937 ","  41,769 ","  41,748 ","  122,054 ","  2,041 ","  124,679 ","  5,047 ","  40,727 ",,"  59,826 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),9.72,10.25,7.53,,15.18,22.10,21.35,18.21,16.52,20.25,16.09,12.13,5.33,14.19,,20.02,,,,
1,Soya Bean,Area planted (Ha),,,,,,"  4,311 ",,,,,,"  51,380 ","  18,872 ","  8,127 ","  20,593 ","  18,283 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,1.32,,,,,,1.90,1.30,1.96,1.39,1.65,,,,
1,Groundnut,Area planted (Ha),,,,,  501 ,"  6,074 ","  11,386 ","  6,278 ","  2,786 ","  14,873 ",,"  57,470 ","  25,584 ","  22,829 ","  41,607 ","  72,900 ",262287.0262,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,2.60,1.83,1.54,1.94,1.20,1.56,,1.49,1.74,1.73,1.35,1.76,,,,
1,Cowpea,Area planted (Ha),,,,,"  3,459 ","  1,965 ","  1,671 ","  8,598 ","  1,881 ","  8,070 ",,"  32,303 ","  16,714 ","  8,990 ","  26,030 ","  62,825 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,2.98,2.13,1.58,1.13,0.90,1.23,,1.40,1.61,1.91,1.38,1.58,,,,
"Source: Statistics, Research and Information Directorate(SRID), MoFA ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 2.15: Crop production by Region, 2021",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic, Western , Western North, Central , Greater Accra , Volta ,Oti, Eastern , Ashanti ,Bono,Bono East,  Ahafo , Northern ,North East,Savannah, Upper East ,Upper West,,,,
1,Maize,Area planted (Ha),"  52,476 ","  26,515 ","  110,708 ","  6,326 ","  39,543 ","  22,651 ","  145,097 ","  168,633 ","  148,521 ","  117,938 ","  36,782 ","  130,658 ","  32,765 ","  39,031 ","  80,707 ","  108,085 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),1.57,1.46,2.82,2.22,2.44,2.58,2.99,3.02,2.68,2.32,2.07,1.70,1.54,1.66,2.17,2.69,2.53,,,
1,Millet,Area planted (Ha),,,,,,,,,,,,"  32,110 ","  16,905 ","  9,129 ","  43,760 ","  23,404 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,,,,,,,  1.73 ,  1.25 ,  1.79 ,  1.09 ,  2.00 ,,,,
1,Rice (Paddy),Area planted (Ha),"  11,083 ","  28,259 ","  4,817 ","  1,933 ","  33,647 ","  23,983 ","  11,236 ","  16,538 ","  5,895 ","  18,073 ","  21,890 ","  77,422 ","  30,580 ","  18,115 ","  43,095 ","  10,737 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),  3.11 ,  2.53 ,  3.37 ,  6.69 ,  5.47 ,  4.77 ,  4.32 ,  4.61 ,  2.59 ,  2.28 ,  0.82 ,  2.86 ,  3.20 ,  2.10 ,  2.95 ,  2.41 ,,,,
1,Sorghum,Area planted (Ha),,,,,,"  5,536 ",,,"  1,427 ","  1,953 ",,"  46,218 ","  14,670 ","  13,759 ","  56,225 ","  52,336 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,  1.53 ,,,  1.50 ,  2.02 ,,  1.94 ,  1.50 ,  1.70 ,  1.27 ,  1.97 ,,,,
1,Cassava,Area planted (Ha),"  52,082 ","  46,418 ","  156,031 ","  4,621 ","  47,742 ","  45,687 ","  228,440 ","  166,795 ","  75,927 ","  81,680 ","  45,606 ","  61,986 ","  1,311 ","  37,129 ",,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),  22.41 ,  15.29 ,  22.69 ,  22.72 ,  22.38 ,  23.11 ,  29.90 ,  26.21 ,  23.50 ,  25.18 ,  20.70 ,  12.36 ,  4.86 ,  15.91 ,,,,,,
1,Cocoyam,Area planted (Ha),"  6,076 ","  43,398 ","  9,037 ",,"  3,026 ","  6,803 ","  29,545 ","  70,109 ","  20,248 ","  1,617 ","  28,895 ",,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),  8.44 ,  7.44 ,  6.09 ,,  5.86 ,  7.24 ,  9.23 ,  7.19 ,  7.09 ,  8.46 ,  7.59 ,,,,,,,,,
1,Plantain,Area planted (Ha),"  22,361 ","  71,854 ","  28,576 ",  272 ,"  3,809 ","  7,549 ","  88,990 ","  125,064 ","  32,237 ","  3,110 ","  64,109 ",,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),  16.02 ,  14.08 ,  11.46 ,  24.25 ,  7.73 ,  7.76 ,  10.85 ,  15.49 ,  14.38 ,  11.31 ,  15.35 ,,,,,,,,,
1,Yam,Area planted (Ha),  975 ,"  10,775 ","  2,964 ",,"  12,088 ","  30,858 ","  41,299 ","  43,647 ","  41,185 ","  125,809 ","  1,575 ","  122,595 ","  4,491 ","  52,558 ",,"  60,539 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),  9.52 ,  10.57 ,  7.85 ,,  15.55 ,  20.65 ,  21.81 ,  18.79 ,  16.49 ,  21.11 ,  13.15 ,  18.36 ,  3.62 ,  14.43 ,,  19.90 ,,,,
1,Soya Bean,Area planted (Ha),,,,,,  802 ,,,,,,"  54,022 ","  20,444 ","  9,183 ","  20,810 ","  20,560 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,  1.58 ,,,,,,  2.05 ,  1.30 ,  1.65 ,  1.40 ,  1.68 ,,,,
1,Groundnut,Area planted (Ha),,,,,  651 ,"  9,549 ","  10,938 ","  6,527 ","  2,826 ","  12,596 ",,"  58,610 ","  22,888 ","  28,754 ","  41,942 ","  77,354 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,  2.60 ,  2.24 ,  1.62 ,  2.05 ,  1.20 ,  1.71 ,,  2.33 ,  1.51 ,  2.07 ,  1.32 ,  1.77 ,,,,
1,Cowpea,Area planted (Ha),,,,,"  3,891 ","  1,773 ","  1,797 ","  8,897 ","  1,957 ","  8,244 ",,"  33,427 ","  19,525 ","  10,440 ","  26,148 ","  63,664 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,  3.00 ,  2.46 ,  1.63 ,  1.16 ,  0.99 ,  1.22 ,,  2.23 ,  1.73 ,  1.67 ,  1.36 ,  1.52 ,,,,
"Source: Statistics, Research and Information Directorate(SRID), MoFA ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 2.16: Crop production by Region, 2022",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic, Western , Western North, Central , Greater Accra , Volta ,Oti, Eastern , Ashanti ,Bono,Bono East,  Ahafo , Northern ,North East,Savannah, Upper East ,Upper West,,,,
1,Maize,Area planted (Ha),"  53,136 ","  27,955 ","  119,368 ","  6,769 ","  35,968 ","  20,359 ","  145,570 ","  169,476 ","  165,314 ","  106,144 ","  38,088 ","  159,109 ","  36,513 ","  47,253 ","  73,925 ","  102,681 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),2.48,1.97,3.52,2.23,2.37,2.90,2.73,3.50,2.52,2.36,0.82,2.46,2.01,2.22,1.78,2.38,,,,
1,Millet,Area planted (Ha),,,,,,,,,,,,"  31,672 ","  18,860 ","  5,534 ","  45,219 ","  24,106 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,,,,,,,1.92,1.20,1.90,1.14,2.04,,,,
1,Rice (Paddy),Area planted (Ha),"  10,912 ","  23,212 ","  4,631 ","  2,068 ","  33,898 ","  25,062 ","  11,158 ","  16,621 ","  7,523 ","  19,700 ","  24,626 ","  89,614 ","  26,848 ","  36,279 ","  43,435 ","  11,059 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),2.51,2.31,3.98,5.96,5.35,4.65,4.11,4.80,2.61,2.08,1.03,3.25,3.00,2.24,2.91,2.42,,,,
1,Sorghum,Area planted (Ha),,,,,,"  5,130 ",,,"  1,566 ","  1,836 ",,"  45,442 ","  13,927 ","  22,334 ","  57,171 ","  79,553 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,1.65,,,1.51,2.11,,2.51,1.45,1.94,1.30,2.01,,,,
1,Cassava,Area planted (Ha),"  50,965 ","  44,095 ","  162,629 ","  7,087 ","  49,125 ","  47,047 ","  232,992 ","  167,629 ","  76,155 ","  84,947 ","  46,728 ","  60,015 ","  6,103 ","  54,971 ",,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),22.13,14.92,22.99,22.41,23.93,24.48,29.94,27.30,23.58,27.19,11.29,10.64,4.70,18.52,,,,,,
1,Cocoyam,Area planted (Ha),"  5,940 ","  42,157 ","  9,236 ",,"  4,084 ","  7,061 ","  29,535 ","  70,460 ","  33,040 ","  1,649 ","  12,323 ",,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),8.30,7.48,6.18,0.00,5.87,7.31,9.24,7.50,7.85,8.79,2.08,,,,,,,,,
1,Plantain,Area planted (Ha),"  23,202 ","  71,975 ","  24,370 ",  291 ,"  5,191 ","  7,284 ","  89,129 ","  125,689 ","  22,222 ","  3,234 ","  64,999 ",,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),15.80,11.64,11.27,23.22,7.51,7.21,10.85,16.10,14.40,11.87,15.99,,,,,,,,,
1,Yam,Area planted (Ha),  955 ,"  11,922 ","  2,800 ",,"  17,851 ","  33,172 ","  42,147 ","  43,865 ","  41,667 ","  132,099 ","  2,125 ","  120,510 ","  17,053 ","  57,153 ",,"  61,144 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),9.17,10.07,7.78,0.00,15.72,21.68,21.83,19.50,16.44,21.53,13.68,17.77,3.60,16.82,,20.06,,,,
1,Soya Bean,Area planted (Ha),,,,,,"  4,605 ",,,,,,"  56,664 ","  15,424 ","  14,954 ","  21,750 ","  25,580 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,,1.57,,,,,,2.08,1.70,1.96,1.40,1.72,,,,
1,Groundnut,Area planted (Ha),,,,,  833 ,"  9,893 ","  11,012 ","  6,560 ","  3,411 ","  14,158 ",,"  59,749 ","  23,509 ","  51,580 ","  42,470 ","  81,222 ",,"  304,397 ",,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,2.12,2.00,1.64,2.10,1.22,1.78,,3.15,1.60,1.94,1.34,1.80,2.01,,,
1,Cowpea,Area planted (Ha),,,,,"  4,110 ","  1,784 ","  1,829 ","  8,941 ","  1,999 ","  9,316 ",,"  34,551 ","  14,396 ","  14,533 ","  26,409 ","  66,354 ",,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),,,,,2.61,2.52,1.65,2.20,1.06,1.29,,3.58,1.75,1.83,1.37,1.57,2.00,,,
"Source: Statistics, Research and Information Directorate(SRID), MoFA ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,What about the rest of the regions,,,,,,,,,,,,,,,,,,,,,